"id";"title";"authors";"subjectsPOR";"institutions";"types";"accesslevel";"publicationDates";"urls";"formats";"languages"
"UFTM_6f4c888b2a8ec67599cf69b16f0c45a6";"Classificação de estudantes através de árvores de decisão via Python e RapidMiner";"primary[CAETANO, Natalia Gonçalves(NA)]";"Mineração de dados.|Árvore de decisão.|Classificação.|Python.|Rapidminer.|Data mining.|Decision Tree.|Classification.|Análise de Dados.";"UFTM";"masterThesis";"openAccess";"2016";"http://bdtd.uftm.edu.br/handle/tede/882";"masterThesis";"por"
"UFMG_a403cf7c8c499b5e8b6f08d594241099";"Assessing the migration of testing frameworks in the Python ecosystem";"primary[Lívia Almeida Barbosa(http://lattes.cnpq.br/0124059842153749)]";"Software testing|Software maintenance|Mining software repositories|Empirical software engineering|Python|Pytest|Unittest";"UFMG";"masterThesis";"openAccess";"2022";"http://hdl.handle.net/1843/47346";"masterThesis";"eng"
"UFRN_382145ca8c52f96f73bd116de3e6f675";"Aplicando BDD em testes de REST API: uma experiência prática";"primary[Lima, Washington Luiz da Silva(NA)]";"Behavior-Driven Development (BDD)|REST API|Cucumber|Allure report|Python|Python requests|Gherkin|Teste de API";"UFRN";"masterThesis";"openAccess";"2022";"https://repositorio.ufrn.br/handle/123456789/48322";"masterThesis";"por"
"UEFS_84432cc8e7e2665353e9a42316a43fa6";"Dados astron?micos: uma proposta de implementa??o para banco de dados";"primary[Santana, Edcarlos da Silva(http://lattes.cnpq.br/5819024526114329)]";"Telesc?pios|Dados espaciais|Estrutura de dados|Python";"UEFS";"masterThesis";"openAccess";"2018";"http://tede2.uefs.br:8080/handle/tede/718";"masterThesis";"por"
"UFS-2_673ac3c3ee0d0335fe04c23d5e8c1578";"Uma abordagem para auxiliar a correção de erros de programadores iniciantes";"primary[Jesus, Galileu Santos de(NA)]";"Juiz on-line|Dicas de programação para iniciantes|Ensino de programação|Programação de computadores|Erros de sintaxe em python|Erros de execução em python|Sintaxe de python";"UFS";"masterThesis";"openAccess";"2018";"http://ri.ufs.br/jspui/handle/riufs/10922";"masterThesis";"por"
"UFPE_689841e059076567c82891d2803b82cc";"Uma aplicação da linguagem Java à computação cientifica";"primary[VARJÃO, Thiago Fabiano Silva(NA)]";"Aritmética de exatidão máxima|Java|Matemática intervalar|Python";"UFPE";"masterThesis";"openAccess";"2013";"https://repositorio.ufpe.br/handle/123456789/12443";"masterThesis";"por"
"UNB_c4a435b48df4a38d10088eea64af0473";"Explorando o uso de análise estática e aprendizagem supervisionada de máquina para a identificação de códigos maliciosos em arquivos executáveis do sistema operacional Microsoft Windows";"primary[Ribeiro, Alexandre José(NA)]";"";"UNB";"masterThesis";"openAccess";"2020";"https://repositorio.unb.br/handle/10482/40762";"masterThesis";"por"
"UNICAMP-30_b4411f83168816d619c9d728d9e2b13a";"Taxonomia de temas para ensino de programação em contexto visual";"primary[Villares, Alexandre Barrozo do Amaral, 1976-(NA)]";"Programação (Computadores) - Estudo e ensino|Python (Linguagem de programação de computador)|Tesauros|Computer programming - Study and teaching|Python (programming language)|Thesaurus";"UNICAMP";"masterThesis";"openAccess";"2019";"https://hdl.handle.net/20.500.12733/1636272";"masterThesis";"por"
"UNICAMP-30_ced914332721b3292cd5f7698080dcfe";"Soluções de equações diofantinas lineares padrões de ordem superior";"primary[Araujo, Juscimar da Silva, 1989-(NA)]";"Teoria dos números|Equações diofantinas|Python (Linguagem de programação de computador)|Algoritmos|Number theory|Diophantine equations|Python (Computer program language)|Algorithms";"UNICAMP";"masterThesis";"openAccess";"2020";"https://hdl.handle.net/20.500.12733/1639881";"masterThesis";"por"
"UNICAMP-30_a4d359d3ef5d6c9041f9cbc2af9fd5d1";"Modelagem matemática para descrever processos de produção de etanol 2G utilizando leveduras Não-'Saccharomyces' e geneticamente modificadas";"primary[Martinez Jimenez, Fernan David, 1991-(NA)]";"Etanol|Xilose|Python (Linguagem de programação de computador)|Lignocelulose|Leveduras|Saccharomyces cerevisiae|Ethanol|Xylose|Python (Computer programming language)|Lignocellulose|Yeasts";"UNICAMP";"doctoralThesis";"openAccess";"2021";"https://hdl.handle.net/20.500.12733/1641493";"doctoralThesis";""
"UFSM_0c0f1d6ba141214e9b2fa0a62481b2f0";"Automação no processo de vetorização de áreas de interesse e buffer variável sobre imagens de satélite";"primary[Beltrão, Éric Tadiello(http://lattes.cnpq.br/5051724435895305)]";"Python|Automação|Geoprocessamento|Vetorização|Sistema de informações geográficas";"UFSM";"masterThesis";"openAccess";"2012";"http://repositorio.ufsm.br/handle/1/9565";"masterThesis";"por"
"UFG_8e6d0584a85e9172bf65b6d37e370ae4";"Noções de programação estruturada em Python no ensino de Física: um caminho para o ensino médio por meio da cultura lúdica";"primary[Parizotto, Giovanna Moreno(NA)]";"Linguagem de programação Python|Ensino médio|Cultura lúdica|Python programming language|High school|Leisure culture|ENSINO-APRENDIZAGEM::TECNOLOGIA EDUCACIONAL";"UFG";"masterThesis";"openAccess";"2017";"http://repositorio.bc.ufg.br/tede/handle/tede/7883";"masterThesis";"por"
"UFRN_41846dfb7c94c70c2edf97898aa2e58d";"Ensino e aprendizagem da matemática na educação básica utilizando tecnologias e desenvolvendo pensamento computacional: abordagem com Scratch, Portugol, Python e Geogebra";"primary[Galvão, Marcos César Cabral(NA)]";"Matemática|Tecnologias para o ensino de matemática|Pensamento computacional|Algoritmos|Programação de computadores";"UFRN";"masterThesis";"openAccess";"2021";"https://repositorio.ufrn.br/handle/123456789/45644";"masterThesis";"por"
"CUB_7ff0536a06a3ed2dfa82db3a0b38df41";"Aprendizagem baseada em problemas (ABP) como estratégia pedagógica na construção e uso das expressões algébricas por meio da linguagem Python no ensino superior";"primary[Bossi, Kátia Milani Lara(NA)]";"Matemática|Metodologias ativas|Linguagem de Programação|CNPQ::CIENCIAS HUMANAS::EDUCACAO::ENSINO-APRENDIZAGEM::METODOS E TECNICAS DE ENSINO";"CUB";"masterThesis";"openAccess";"2020";"https://repositorio.cruzeirodosul.edu.br/handle/123456789/2304";"masterThesis";"por"
"UNICSUL-1_7ff0536a06a3ed2dfa82db3a0b38df41";"Aprendizagem baseada em problemas (ABP) como estratégia pedagógica na construção e uso das expressões algébricas por meio da linguagem Python no ensino superior";"primary[Bossi, Kátia Milani Lara(http://lattes.cnpq.br/6273840140527540)]";"Matemática|Metodologias ativas|Linguagem de Programação";"UNICSUL";"masterThesis";"openAccess";"2020";"https://repositorio.cruzeirodosul.edu.br/handle/123456789/2304";"masterThesis";"por"
"UFVJM-2_9e1fbf7ad82161229324d6add0545aee";"An?lise de risco quanto aos custos de projetos de obra civil residencial utilizando modelagem computacional via Python";"primary[Santos, Jos? Ant?nio Lima(NA)]";"";"UFVJM";"masterThesis";"openAccess";"2022";"http://acervo.ufvjm.edu.br/jspui/handle/1/3081";"masterThesis";"por"
"FURG_7615a2551dc2793cde9e6c0c7d22d081";"Rotina computacional de obtenção, tratamento e visualização de dados oceanográficos";"primary[Catharina, Carlos Alberto Bertin(NA)]";"Oceanografia|Python|Telemac3d|Hycom|Reanalysis|Oceanography";"FURG";"masterThesis";"openAccess";"2016";"http://repositorio.furg.br/handle/1/6139";"masterThesis";"por"
"UFPE_9cde26bd6762af5e05d2d3fb60cce6e4";"Desenvolvimento de um software para modelagem de tomógrafos por emissão de pósitrons";"primary[Vieira, Igor Fagner(NA)]";"GATE, Python|PET scanner|Modelos Computacionais de Exposição|Monte Carlo";"UFPE";"masterThesis";"openAccess";"2013";"https://repositorio.ufpe.br/handle/123456789/10121";"masterThesis";"por"
"UFC-7_e214d184628a44a7dae9c423932900bd";"Modelagem e simulação do processo de secagem convectiva utilizando modelo diferencial difusivo-convectivo resolvido pelo método numérico dos volumes finitos";"primary[Magalhães, Madson Linhares(NA)]";"Engenharia química|Python (Linguagem de programação de computador)|Massa - Transferência|Secagem";"UFC";"masterThesis";"openAccess";"2016";"http://www.repositorio.ufc.br/handle/riufc/16512";"masterThesis";"por"
"UNICAMP-30_6938f5b9fe819c8dac4ed8065bb68ab7";"Desenvolvimento de uma ferramenta educacional direcionada a simulação de reatores químicos";"primary[Sawaki, Rafaela Vianna, 1992-(NA)]";"Reator quimico|Modelagem matemática|Python (Linguagem de programação de computador)|Tecnologia educacional|Simulação computacional|Chemical reactors|Mathematical modeling|Python (Computer program language)|Educational technology|Computer simulation";"UNICAMP";"masterThesis";"openAccess";"2019";"https://hdl.handle.net/20.500.12733/1638308";"masterThesis";"por"
"UNICAMP-30_0f30e313dd05c16107a008d35fe95a80";"Determinação de grandezas termodinâmicas de compostos terpênicos presentes em óleos essenciais por cromatografia gasosa e proposição de modelo de contribuição de grupos para estimação de entalpias de vaporização";"primary[Oliveira, Carlos Eduardo Lima de, 1985-(NA)]";"Terpenos|Essências e óleos essenciais|Termodinâmica|Cromatografia gasosa|Python (Linguagem de programação de computador)|Terpenes|Essential oils|Thermodynamic|Gas chromatography|Python (Computer programming language)";"UNICAMP";"doctoralThesis";"openAccess";"2017";"https://hdl.handle.net/20.500.12733/1631452";"doctoralThesis";""
"UNICAMP-30_f6f703e08cc4235f07d8173454d2c8c8";"Development of an automated data processing pipeline for Serial Synchrotron Crystallography on MANACÁ (Sirius) : Desenvolvimento do fluxo de processamento automático de dados para Cristalografia Serial em Síncrotron na MANACÁ (Sirius)";"primary[Rodrigues, Ana Carolina, 1996-(NA)]";"Projeto Sirius|Processamento eletrônico de dados|Cristalografia serial em síncrotron|Python (Linguagem de programação de computador)|Sirius Project|Serial synchrotron crystallography|Python (Computer program language)|Electronic data processing";"UNICAMP";"masterThesis";"openAccess";"2021";"https://hdl.handle.net/20.500.12733/1351";"masterThesis";""
"UFN-1_7577180184d8c7689ef1944a4ef7c2c2";"PROGRAMAÇÃO DE COMPUTADORES NO ENSINO DE FÍSICA NA EDUCAÇÃO BÁSICA: UMA ALTERNATIVA INOVADORA COM O USO DE RECURSOS COMPUTACIONAIS";"primary[Cassal, Marcos Luís(NA)]";"Ensino de Física. Ensino de Programação. Ensino Médio. Teoria dos Campos Conceituais. Python.";"UFN";"doctoralThesis";"openAccess";"2020";"http://www.tede.universidadefranciscana.edu.br:8080/handle/UFN-BDTD/873";"doctoralThesis";"por"
"UFRN_7c22c5663c419c2e1989575dc33a032f";"Uma perspectiva de extensão do modelo de aceitação de tecnologia para explicar o uso de linguagens de desenvolvimento WEB: pesquisa com desenvolvedores Pyton e Java";"primary[Oliveira, Idelmárcia Dantas de(NA)]";"Sistemas de informação|Modelo de aceitação de tecnologia|Linguagens de programação|Python|Java";"UFRN";"masterThesis";"openAccess";"2007";"https://repositorio.ufrn.br/jspui/handle/123456789/14872";"masterThesis";"por"
"SCAR_7fd57afb6e29a68eeae116a81526851e";"Elaboração de modelo conceitual para monitoramento de riscos à contaminação da água em comunidades rurais";"primary[Corrêa, Rony Felipe Marcelino(NA)]";"Segurança da água|Contaminação da água|Saneamento rural|Monitoramento ambiental";"UFSCAR";"masterThesis";"openAccess";"2020";"https://repositorio.ufscar.br/handle/ufscar/12418";"masterThesis";"por"
"FURG_6b71291e7cfe7e34ddd427c63c144098";"Desenvolvimento de uma interface para a simulação com animação tridimensional de estruturas flexíveis do tipo Cabo";"primary[Aguiar Junior, Roberto(NA)]";"Estruturas flexíveis|Modelagem dinâmica|Algoritmos genéricos|Desenvolvimento|Animações tridimensionais|Python|OpenGL|Flexibe structures|Dynamic modelling|Generic algorithms|Software development|Three- dimensional animation";"FURG";"masterThesis";"openAccess";"2016";"http://repositorio.furg.br/handle/1/9223";"masterThesis";"por"
"UFPE_a39e5cbdf48a4623137a636f977f37c8";"Impacto das ações antrópicas no balanço de energia e na evapotranspiração real em bacia hidrográfica do semiárido de Pernambuco";"primary[LIMA, Carlos Eduardo Santos de(NA)]";"Meio ambiente|Balanço de energia automatizado|Landsat 8 OLI. Linguagem python|SEBAL";"UFPE";"masterThesis";"openAccess";"2019";"https://repositorio.ufpe.br/handle/123456789/36728";"masterThesis";"por"
"UFPR_2957f5b77810d4c54c1a219f03ac00db";"Structural Best Management Practices (BMPs) and hydrological effects modelling using swat for urban watershed";"primary[Ferreira, David Bispo, 1992-(NA)]";"Bacias hidrográficas|Solos - Analise|Água - Analise|Python (Linguagem de programação de computador)|Hidrologia|Recursos Hídricos";"UFPR";"masterThesis";"openAccess";"2019";"https://hdl.handle.net/1884/62714";"masterThesis";""
"UFC-7_6339fd357733645925f92f979559e563";"Geoprocessamento aplicado a determinação de parâmetros hidrológicos de bacias hidrográficas";"primary[Camacho, Carlos Hugo Campos(NA)]";"Recursos hídricos|Geoprocessamento|Sistemas de Informação Geográfica|Digital elevation models|Morphological watershed|Script Python|Model Builder|Geoprocessing";"UFC";"masterThesis";"openAccess";"2018";"http://www.repositorio.ufc.br/handle/riufc/32258";"masterThesis";"por"
"UFOP_cfeeed832b130fcd2a64f1edc9a4fc63";"Análise multivariada e redes neurais aplicadas na predição de projeção no BOF.";"primary[Loiola, Bruna Helena Malovini(NA)]";"Big data|Redes neurais artificiais|Python - linguagem de programação de computador|Análise multivariada";"UFOP";"masterThesis";"openAccess";"2020";"http://www.repositorio.ufop.br/handle/123456789/13127";"masterThesis";"por"
"UNSP_c57535221ac3043db3bbed474e74909b";"Implementação de um controlador PID embarcado para o controle em malha fechada de um estimulador neuromuscular funcional";"primary[Prado, Thiago Alexandre [UNESP](NA)]";"Controladores PID|Estimulação elétrica neuromuscular";"UNESP";"masterThesis";"openAccess";"2009";"http://hdl.handle.net/11449/87062";"masterThesis";"por"
"UFRN_16356c70ac3afbe2d4e42d70071608c8";"Análise de confiabilidade geotécnica de estruturas de contenção em balanço executadas em areia";"primary[Florêncio, Luiz Augusto da Silva(NA)]";"Modelagem numérica|Python|Solo arenoso|ELU|ELS";"UFRN";"masterThesis";"openAccess";"2018";"https://repositorio.ufrn.br/jspui/handle/123456789/25337";"masterThesis";"por"
"UFRN_fd3cec651fc6555fdd92fc8d908f1717";"Modelagem e simulação da solubilidade de sais em sistemas aquosos com Monoetilenoglicol";"primary[Oliveira, José Augusto Furtado de(NA)]";"Solubilidade|Eletrólitos|Monoetilenoglicol|Mistura de solventes|Processamento de gás natural|Python";"UFRN";"doctoralThesis";"openAccess";"2014";"https://repositorio.ufrn.br/jspui/handle/123456789/19646";"doctoralThesis";"por"
"URGS_c9ecbce20a9cf510d27b9177f4f46586";"Transferência de cores entre duas imagens";"primary[Nunes, Gustavo Schreiber(NA)]";"Transporte ótimo : Matemática|Programação linear|Linguagem de programação";"UFRGS";"masterThesis";"openAccess";"2022";"http://hdl.handle.net/10183/239227";"masterThesis";"por"
"URGS_8ad3d7c1b2e4511ec0ce07f495c63f8a";"Controle da qualidade mineral através de sistema de gerenciamento para equipamentos móveis";"primary[Almeida, Cramer Moraes de(NA)]";"Python (Linguagem de programação)|Tecnologia mineral|Pesquisa operacional";"UFRGS";"masterThesis";"openAccess";"2020";"http://hdl.handle.net/10183/214191";"masterThesis";"por"
"UTFPR-12_0045bad3a162beab4438d1abfe89f843";"Uma introdução aos primos gêmeos: caracterizações e ilustrações";"primary[Coelho, Joao Eugenio Camilo(http://lattes.cnpq.br/7228747199185080)]";"Números primos - Ilustrações|Fermat, Teorema de|Congruências e restos|Python (Linguagem de programação de computador)|Numbers, Prime - Pictures|Fermat's theorem|Congruences and residues|Python (Computer program language)";"UTFPR";"masterThesis";"openAccess";"2021";"http://repositorio.utfpr.edu.br/jspui/handle/1/26532";"masterThesis";"por"
"UTFPR-12_1a3460b83390c27ee384176009cec53a";"Ferramenta computacional para análise de capacidade de processo utilizando a linguagem phyton";"primary[Miura, Flávia Sayuri(http://lattes.cnpq.br/7133539257216613)]";"Controle de processo - Métodos estatísticos|Python (Linguagem de programação de computador)|Processos de fabricação - Automação|Process control - Statistical methods|Python (Computer program language)|Manufacturing processes - Automation";"UTFPR";"masterThesis";"openAccess";"2019";"http://repositorio.utfpr.edu.br/jspui/handle/1/25457";"masterThesis";"por"
"UNICAMP-30_877e344e7c22a167b33e6add72ed5991";"Método para seleção automática de espectros de interesse em espectroscopia multi-voxel por ressonância magnética";"primary[Pereira, Danilo Rodrigues, 1984-(NA)]";"Espectroscopia de prótons por ressonância magnética|Espectroscopia de ressonância magnética nuclear|Imagem de ressonância magnética|Python (Linguagem de programação de computador)|Proton magnetic resonance spectroscopy|Nuclear magnetic resonance spectroscopy|Magnetic resonance imaging|Python (Computer programming language)";"UNICAMP";"masterThesis";"openAccess";"2017";"https://hdl.handle.net/20.500.12733/1630995";"masterThesis";""
"UTFPR-1_df68ad6e783d3d1b042b1cb344d86d66";"Uma introdução aos primos gêmeos: caracterizações e ilustrações";"primary[Coelho, Joao Eugenio Camilo(http://lattes.cnpq.br/7228747199185080)]";"Números primos - Ilustrações|Fermat, Teorema de|Congruências e restos|Python (Linguagem de programação de computador)|Numbers, Prime - Pictures|Fermat's theorem|Congruences and residues|Python (Computer program language)";"UTFPR";"masterThesis";"openAccess";"2021";"http://repositorio.utfpr.edu.br/jspui/handle/1/26532";"masterThesis";"por"
"UNIOESTE-1_a98bea281275f628801b1798b64ae2e6";"Sensoriamento remoto associado a técnicas de mineração de dados para estimativas de produção agrícola";"primary[Becker, Willyan Ronaldo(http://lattes.cnpq.br/6173806880513817)]";"Análise de agrupamento|Estimativa de produtividade de soja|WOFOST|Dados agrometeorológicos ERA5/Nasa Power|Google Earth Engine|Python";"UNIOESTE";"doctoralThesis";"openAccess";"2021";"http://tede.unioeste.br/handle/tede/5629";"doctoralThesis";"por"
"UFPL_93e60cb0461aac120c9437be823e601a";"PyRDMIA: um pacote intervalar para aritmética RDM";"primary[Maraschin Junior, Dirceu Antonio(NA)]";"RDM-IA|Aritmética intervalar|Python|Computação numérica|Interval arithmetic|Numerical computation";"UFPEL";"masterThesis";"openAccess";"2019";"http://guaiaca.ufpel.edu.br:8080/handle/prefix/4821";"masterThesis";"por"
"IFAM-1_d85104b5fb5a0d9eb83986c87e664ae1";"Programação de computadores aplicada à resolução de equações algébricas e plotagem de gráficos: um estudo na Licenciatura em Matemática";"primary[Ferreira, Cristiano José(http://lattes.cnpq.br/9596439804260405)]";"Programação baseada em investigação|Programação aplicada à Matemática|Programação com Python|Licenciatura em Matemática";"IFAM";"masterThesis";"openAccess";"2018";"http://repositorio.ifam.edu.br/jspui/handle/4321/328";"masterThesis";"por"
"SCAR_285a80301680146d07f915cdde89ab0d";"Desenvolvimento de software para simulação do sequestro de carbono no solo";"primary[Castro, Fernando Henrique(NA)]";"Carbono|Matéria orgânica|Solo|Manejo|Decomposição|CQESTR";"UFSCAR";"masterThesis";"openAccess";"2018";"https://repositorio.ufscar.br/handle/ufscar/10062";"masterThesis";"por"
"SCAR_32f0b246ae304dde81411507e6846dd7";"Proposta e validação de solução de computação em nuvem para redes com dispositivos nacionais";"primary[Zugliani, Ettore(NA)]";"Redes|Computação em nuvem|Virtualização";"UFSCAR";"masterThesis";"openAccess";"2016";"https://repositorio.ufscar.br/handle/ufscar/8058";"masterThesis";"por"
"UFPB_a6733983e143310fb4e3a64d737bbb65";"PyCrystalSCD: um software para obtenção da demarcação do cluster supramolecular em cristais orgânicos";"primary[Xavier, Rodrigo Nóbrega Rocha(NA)]";"Cristalografia|Clusters supramoleculares|Diagrama de Voronoi|Python|Crystallography|Supramolecular clusters|Voronoi diagram|CNPQ::CIENCIAS EXATAS E DA TERRA::CIENCIA DA COMPUTACAO";"UFPB";"masterThesis";"openAccess";"2020";"https://repositorio.ufpb.br/jspui/handle/123456789/21300";"masterThesis";"por"
"SCAR_3e16db1a2177172c58136cad8571f1a8";"Análise da expressão de proteínas envolvidas no manejo de cálcio cardíaco nos répteis píton (Python molurus), cascavel sul-americana (Crotalus durissus terrificus) e jacaré-de-papo-amarelo (Caiman latirostris) em jejum e nos períodos digestivo e pós-absortivo";"primary[Vasconcelos, Eliton da Silva(NA)]";"Fisiologia comparada|SERCA2a|Fosfolambam|Trocador sódio-cálcio|Western blotting|Manejo cardíaco de cálcio";"UFSCAR";"doctoralThesis";"openAccess";"2014";"https://repositorio.ufscar.br/handle/ufscar/1264";"doctoralThesis";"por"
"SCAR_4b3993a136cabd75ebb50aee5df1a8aa";"Sistema de auxílio a navegação em ambientes internos para pessoas com deficiência visual usando visão estereoscópica";"primary[Chiqueto, Thiago Sousa(NA)]";"Deficiência visual|Visão estereoscópica|OpenCV|Python|Minoru3D|Mapa de disparidade";"UFSCAR";"masterThesis";"openAccess";"2016";"https://repositorio.ufscar.br/handle/ufscar/9781";"masterThesis";"por"
"UERJ_df833413f339a4219ccd7a0aecd8aa2d";"Estratégias de escalonamento para ambientes de execução guiada por ﬂuxo de dados";"primary[Silva, Rafael José do Nascimento(http://lattes.cnpq.br/9388533934773200)]";"Dataﬂow|Sucuri|Paralelismo|Escalonamento|Balanceamento de carga|Python (Linguagem de Programação de Computador)|Escalonamento de produção";"UERJ";"masterThesis";"openAccess";"2016";"http://www.bdtd.uerj.br/handle/1/7714";"masterThesis";"por"
